date_time,Time,ProductRate,AHT,DayOfWeek,IsPeak,TotalCount
2019-12-01 00:00:00,0,0.79,3.17,0,0,213
2019-12-01 00:30:00,30,0.75,3.11,0,0,185
2019-12-01 01:00:00,60,0.79,3.02,0,0,166
2019-12-01 01:30:00,90,0.9,3.75,0,0,175
2019-12-01 02:00:00,120,0.67,2.68,0,0,110
2019-12-01 02:30:00,150,0.59,2.13,0,0,84
2019-12-01 03:00:00,180,0.73,0.44,0,0,92
2019-12-01 03:30:00,210,0.74,0.38,0,0,61
2019-12-01 04:00:00,240,0.33,0.07,0,0,48
2019-12-01 04:30:00,270,0.0,0.0,0,0,36
2019-12-01 05:00:00,300,0.61,0.37,0,0,32
2019-12-01 05:30:00,330,0.56,0.79,0,0,24
2019-12-01 06:00:00,360,0.41,0.42,0,0,26
2019-12-01 06:30:00,390,0.41,0.52,0,0,37
2019-12-01 07:00:00,420,0.47,1.34,0,0,52
2019-12-01 07:30:00,450,0.49,2.72,0,0,49
2019-12-01 08:00:00,480,0.5,3.9,0,0,83
2019-12-01 08:30:00,510,0.66,4.06,0,0,135
2019-12-01 09:00:00,540,0.65,4.67,0,0,186
2019-12-01 09:30:00,570,0.82,5.18,0,0,212
2019-12-01 10:00:00,600,0.73,4.71,0,0,237
2019-12-01 10:30:00,630,0.7,5.26,0,0,213
2019-12-01 11:00:00,660,0.72,4.1,0,1,286
2019-12-01 11:30:00,690,0.68,4.49,0,1,247
2019-12-01 12:00:00,720,0.47,4.28,0,1,208
2019-12-01 12:30:00,750,0.65,4.28,0,1,271
2019-12-01 13:00:00,780,0.74,4.85,0,1,269
2019-12-01 13:30:00,810,0.63,4.56,0,1,250
2019-12-01 14:00:00,840,0.78,4.39,0,0,249
2019-12-01 14:30:00,870,0.85,4.74,0,0,322
2019-12-01 15:00:00,900,0.63,4.22,0,0,280
2019-12-01 15:30:00,930,0.77,4.76,0,0,277
2019-12-01 16:00:00,960,0.74,4.59,0,0,263
2019-12-01 16:30:00,990,0.76,4.69,0,0,268
2019-12-01 17:00:00,1020,0.82,4.65,0,0,259
2019-12-01 17:30:00,1050,0.93,4.71,0,0,314
2019-12-01 18:00:00,1080,0.68,4.07,0,0,250
2019-12-01 18:30:00,1110,0.7,3.78,0,0,242
2019-12-01 19:00:00,1140,0.81,4.06,0,0,248
2019-12-01 19:30:00,1170,0.73,4.13,0,0,236
2019-12-01 20:00:00,1200,0.64,4.11,0,0,251
2019-12-01 20:30:00,1230,0.73,3.99,0,0,261
2019-12-01 21:00:00,1260,0.69,3.58,0,0,244
2019-12-01 21:30:00,1290,0.81,2.73,0,0,260
2019-12-01 22:00:00,1320,0.82,2.84,0,0,250
2019-12-01 22:30:00,1350,0.69,2.83,0,0,208
2019-12-01 23:00:00,1380,0.77,2.72,0,0,183
2019-12-01 23:30:00,1410,0.57,2.74,0,0,153
2019-12-02 00:00:00,0,0.6,2.44,1,0,114
2019-12-02 00:30:00,30,0.45,0.92,1,0,84
2019-12-02 01:00:00,60,0.36,1.45,1,0,75
2019-12-02 01:30:00,90,0.54,1.13,1,0,63
2019-12-02 02:00:00,120,0.86,0.62,1,0,54
2019-12-02 02:30:00,150,0.49,0.33,1,0,41
2019-12-02 03:00:00,180,0.07,0.06,1,0,34
